_id,colCode,colName,branCode,branName
6457ad9abd452186e59e308b,1011001,Presidency College (Autonomous) Chennai - 600005,SSTE1,B.Sc. Statistics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3095,1011001,Presidency College (Autonomous) Chennai - 600005,LMAE1,B.A. Malayalam ( 1ST SHIFT )
6457ad9abd452186e59e307a,1011001,Presidency College (Autonomous) Chennai - 600005,APOT1,B.A. Political Science (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e309b,1012002,"Queen Mary's College (Autonomous), Dr.Radhakrishnan Salai,  Mylapore, Chennai - 600 004.",SMAT1,B.Sc. Mathematics (T/M ) ( 1ST SHIFT )
6457ad9abd452186e59e3091,1011001,Presidency College (Autonomous) Chennai - 600005,SPHT1,B.Sc. Physics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e30a7,1012002,"Queen Mary's College (Autonomous), Dr.Radhakrishnan Salai,  Mylapore, Chennai - 600 004.",SGTE1,B.Sc. Geography Tourism & Travel Management (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e30a2,1012002,"Queen Mary's College (Autonomous), Dr.Radhakrishnan Salai,  Mylapore, Chennai - 600 004.",SPBT1,B.Sc. Plant Biology & Plant Biotechnology (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e30ad,1012002,"Queen Mary's College (Autonomous), Dr.Radhakrishnan Salai,  Mylapore, Chennai - 600 004.",AHSE1,B.A. Historical Studies (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e30aa,1012002,"Queen Mary's College (Autonomous), Dr.Radhakrishnan Salai,  Mylapore, Chennai - 600 004.",SPEE1,"B.Sc. Physical Education, Health Education and Sports (E/M) ( 1ST SHIFT )"
6457ad9abd452186e59e30af,1012002,"Queen Mary's College (Autonomous), Dr.Radhakrishnan Salai,  Mylapore, Chennai - 600 004.",ASYE1,B.A. Sociology (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e30a9,1012002,"Queen Mary's College (Autonomous), Dr.Radhakrishnan Salai,  Mylapore, Chennai - 600 004.",SCNE1,B.Sc. Home Science Clinical Nutrition and Dietetics ( 1ST SHIFT )
6457ad9abd452186e59e30b1,1012002,"Queen Mary's College (Autonomous), Dr.Radhakrishnan Salai,  Mylapore, Chennai - 600 004.",AECT1,B.A. Economics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e307c,1011001,Presidency College (Autonomous) Chennai - 600005,APOE1,B.A. Political Science (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e308e,1011001,Presidency College (Autonomous) Chennai - 600005,SAZE1,B.Sc. Advanced Zoology & Biotechnology (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e308f,1011001,Presidency College (Autonomous) Chennai - 600005,SAZT1,B.Sc. Advanced Zoology & Biotechnology (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e30b4,1012002,"Queen Mary's College (Autonomous), Dr.Radhakrishnan Salai,  Mylapore, Chennai - 600 004.",LTAT1,B.A. Tamil ( 1ST SHIFT )
6457ad9abd452186e59e30c0,1012003,"Bharathi Womens College (Autonomous), No.1 Prakasam Salai, Chennai - 600108",AECE1,B.A. Economics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e308c,1011001,Presidency College (Autonomous) Chennai - 600005,AHIE1,B.A. History (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e30d0,1012003,"Bharathi Womens College (Autonomous), No.1 Prakasam Salai, Chennai - 600108",SBCE1,B.Sc. Biochemistry (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e30e1,1013004,"Government Arts College for Men (Autonomous), Nandanam, Chennai - 600035",SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e30d8,1013004,"Government Arts College for Men (Autonomous), Nandanam, Chennai - 600035",LENE1,B.A. English  ( 1ST SHIFT )
6457ad9abd452186e59e30ce,1012003,"Bharathi Womens College (Autonomous), No.1 Prakasam Salai, Chennai - 600108",SGET1,B.Sc. Geography (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e30e2,1013004,"Government Arts College for Men (Autonomous), Nandanam, Chennai - 600035",SPHT1,B.Sc. Physics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e30e8,1013004,"Government Arts College for Men (Autonomous), Nandanam, Chennai - 600035",SZOE1,B.Sc.  Zoology (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e30e4,1013004,"Government Arts College for Men (Autonomous), Nandanam, Chennai - 600035",SCHT1,B.Sc. Chemistry (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e30e6,1013004,"Government Arts College for Men (Autonomous), Nandanam, Chennai - 600035",SBOT1,B.Sc. Botany (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e30ec,1013004,"Government Arts College for Men (Autonomous), Nandanam, Chennai - 600035",APAE1,B.A. Public Administration (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e30ed,1013004,"Government Arts College for Men (Autonomous), Nandanam, Chennai - 600035",CAFE1,B.Com. (Accounting & Finance) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e30f2,1013004,"Government Arts College for Men (Autonomous), Nandanam, Chennai - 600035",CCSE2,B.Com. (Corporate Secretaryship) (E/M) ( 2ND SHIFT )
